Building Type,New Building,Elevator,Number of Floors,Total Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Price,District
Stone,No,Not Available,5,55.0,2.0,1.0,2.7,1.0,Not Available,Partially Furnished,Old Renovation,85000.0,Arabkir
Monolith,Yes,Available,14,68.0,2.0,1.0,2.8,4.0,Closed Balcony,Partially Furnished,Capital Renovated,135000.0,Davtashen
Monolith,Yes,Available,6,64.0,2.0,1.0,3.0,6.0,Open Balcony,Available,Designer Renovated,115000.0,Arabkir
Stone,No,Not Available,5,86.0,3.0,1.0,2.75,5.0,Closed Balcony,Available,Capital Renovated,205000.0,Kentron
Panel,No,Available,9,80.0,3.0,2.0,2.75,4.0,Multiple Balconies,Not Available,Partially Renovated,85000.0,Malatia-Sebastia
Monolith,Yes,Available,4,97.0,3.0,2.0,3.0,4.0,Multiple Balconies,Not Available,Not Renovated,235000.0,Arabkir
Panel,No,Available,14,82.0,3.0,1.0,2.8,8.0,Closed Balcony,Partially Furnished,Euro Renovation,88000.0,Avan
Panel,No,Available,10,65.0,3.0,1.0,2.75,6.0,Open Balcony,Available,Euro Renovation,195000.0,Kentron
Stone,No,Not Available,6,58.0,2.0,1.0,2.7,4.0,Open Balcony,Available,Old Renovation,98000.0,Arabkir
Stone,No,Available,8,93.0,3.0,2.0,2.8,6.0,Open Balcony,Available,Capital Renovated,175000.0,Arabkir
Monolith,Yes,Available,15,107.0,3.0,2.0,3.0,12.0,Multiple Balconies,Partially Furnished,Euro Renovation,255000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,50.0,2.0,1.0,3.0,2.0,Not Available,Available,Capital Renovated,250000.0,Kentron
Panel,No,Not Available,5,38.0,2.0,1.0,2.6,5.0,Multiple Balconies,Partially Furnished,Capital Renovated,75000.0,Nor Norq
Monolith,Yes,Available,8,110.0,3.0,2.0,3.0,4.0,Open Balcony,Partially Furnished,Designer Renovated,272000.0,Arabkir
Monolith,Yes,Available,11,49.0,2.0,1.0,3.0,11.0,Not Available,Available,Designer Renovated,196000.0,Kentron
Panel,No,Available,14,67.0,2.0,1.0,2.75,6.0,Closed Balcony,Available,Old Renovation,105000.0,Arabkir
Monolith,Yes,Available,8,65.0,2.0,1.0,3.2,2.0,Open Balcony,Available,Euro Renovation,147000.0,Arabkir
Stone,No,Not Available,5,90.0,4.0,2.0,3.2,2.0,Not Available,Available,Capital Renovated,225000.0,Erebuni
Panel,No,Available,9,43.0,2.0,1.0,2.75,6.0,Closed Balcony,Partially Furnished,Capital Renovated,85000.0,Arabkir
Stone,No,Available,7,48.0,2.0,1.0,2.8,7.0,Open Balcony,Not Available,Cosmetic Renovation,97000.0,Kentron
Panel,No,Available,9,46.0,1.0,1.0,2.75,2.0,Not Available,Available,Designer Renovated,110000.0,Kentron
Monolith,Yes,Available,15,83.0,3.0,2.0,3.2,4.0,Open Balcony,Not Available,Partially Renovated,175000.0,Davtashen
Monolith,Yes,Available,4,65.0,3.0,1.0,3.0,4.0,Open Balcony,Not Available,Designer Renovated,95000.0,Malatia-Sebastia
Stone,No,Not Available,5,66.0,2.0,1.0,2.7,2.0,Open Balcony,Partially Furnished,Capital Renovated,130000.0,Nor Norq
Monolith,Yes,Available,18,70.0,2.0,1.0,3.0,13.0,Open Balcony,Not Available,Not Renovated,158000.0,Arabkir
Monolith,Yes,Available,8,60.0,2.0,1.0,3.0,8.0,Open Balcony,Available,Designer Renovated,190000.0,Arabkir
Panel,No,Available,14,104.0,4.0,2.0,2.75,11.0,Open Balcony,Not Available,Partially Renovated,110000.0,Ajapnyak
Monolith,Yes,Available,18,80.0,3.0,1.0,3.0,13.0,Open Balcony,Not Available,Not Renovated,88000.0,Avan
Monolith,Yes,Available,12,45.0,1.0,1.0,2.8,8.0,Not Available,Available,Euro Renovation,70000.0,Ajapnyak
Stone,No,Not Available,5,88.0,3.0,2.0,3.0,4.0,Open Balcony,Not Available,Cosmetic Renovation,148000.0,Arabkir
Stone,No,Not Available,5,59.0,2.0,1.0,2.75,2.0,Open Balcony,Partially Furnished,Capital Renovated,116500.0,Arabkir
Monolith,Yes,Available,19,60.0,2.0,1.0,3.0,4.0,Open Balcony,Not Available,Not Renovated,135000.0,Arabkir
Stone,No,Not Available,5,78.0,3.0,1.0,2.8,4.0,Open Balcony,Available,Designer Renovated,217000.0,Kentron
Panel,No,Available,14,83.0,3.0,1.0,2.75,7.0,Closed Balcony,Not Available,Partially Renovated,118000.0,Arabkir
Panel,No,Available,14,52.0,2.0,1.0,2.75,7.0,Closed Balcony,Available,Euro Renovation,84000.0,Arabkir
Stone,No,Not Available,5,82.0,3.0,2.0,2.75,4.0,Multiple Balconies,Not Available,Partially Renovated,128000.0,Kentron
Monolith,Yes,Available,8,70.0,3.0,1.0,3.0,5.0,Open Balcony,Available,Capital Renovated,160000.0,Nor Norq
Monolith,Yes,Available,9,60.0,2.0,1.0,3.0,5.0,Open Balcony,Not Available,Capital Renovated,162000.0,Kentron
Monolith,Yes,Available,14,53.0,2.0,1.0,3.0,4.0,Open Balcony,Available,Capital Renovated,145000.0,Kentron
Stone,No,Not Available,5,38.0,1.0,1.0,3.2,4.0,Open Balcony,Partially Furnished,Euro Renovation,172000.0,Kentron
Monolith,Yes,Available,5,51.0,2.0,1.0,3.0,1.0,Not Available,Not Available,Capital Renovated,112000.0,Qanaqer-Zeytun
Stone,No,Available,9,78.0,3.0,2.0,2.8,6.0,Closed Balcony,Available,Cosmetic Renovation,127000.0,Arabkir
Panel,No,Available,9,99.0,3.0,2.0,2.8,2.0,Closed Balcony,Available,Partially Renovated,135000.0,Arabkir
Monolith,Yes,Available,16,52.0,2.0,1.0,3.0,5.0,Open Balcony,Available,Capital Renovated,142000.0,Davtashen
Stone,No,Not Available,5,130.0,4.0,1.0,2.8,4.0,Closed Balcony,Not Available,Euro Renovation,210000.0,Arabkir
Stone,No,Not Available,4,68.0,3.0,1.0,2.8,2.0,Closed Balcony,Available,Cosmetic Renovation,83000.0,Ajapnyak
Monolith,Yes,Available,13,127.0,3.0,1.0,3.0,13.0,Multiple Balconies,Not Available,Not Renovated,189610.39,Arabkir
Monolith,Yes,Available,11,75.0,2.0,1.0,3.0,8.0,Open Balcony,Available,Designer Renovated,145000.0,Davtashen
Panel,No,Available,9,93.0,3.0,1.0,2.8,4.0,Closed Balcony,Partially Furnished,Old Renovation,96103.9,Malatia-Sebastia
Monolith,Yes,Available,11,45.0,1.0,1.0,3.0,10.0,Not Available,Available,Euro Renovation,68000.0,Qanaqer-Zeytun
Monolith,Yes,Available,8,84.0,3.0,1.0,3.0,5.0,Open Balcony,Not Available,Not Renovated,170000.0,Arabkir
Panel,No,Available,14,83.0,3.0,1.0,2.75,2.0,Multiple Balconies,Partially Furnished,Cosmetic Renovation,120000.0,Davtashen
Stone,No,Available,8,92.0,4.0,2.0,2.8,6.0,Open Balcony,Available,Euro Renovation,230000.0,Kentron
Stone,No,Not Available,5,72.0,2.0,2.0,3.0,4.0,Closed Balcony,Available,Old Renovation,134000.0,Arabkir
Stone,No,Not Available,5,53.0,2.0,1.0,2.7,2.0,Closed Balcony,Partially Furnished,Partially Renovated,145000.0,Arabkir
Monolith,Yes,Available,17,68.0,2.0,1.0,3.2,12.0,Open Balcony,Not Available,Not Renovated,142000.0,Arabkir
Monolith,Yes,Available,10,113.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Euro Renovation,180000.0,Arabkir
